Differential genes in Nb2 neoblasts		
Gene id	foldChange	State
SMED30006518	1.533688618	up
SMED30027848	7.878575803	up
SMED30018231	0.706915012	down
SMED30010306	0.679003996	down
SMED30002134	0.775518161	down
SMED30011982	1.017565937	down
SMED30006416	0.716193433	down
SMED30026371	0.310456489	down
SMED30014761	0.216755076	down
SMED30010443	0.699809245	down
SMED30029759	0.825045511	down
SMED30007861	0.239388136	down
SMED30028500	0.640743687	down
SMED30016265	0.746279392	down
SMED30019808	0.837557749	down
SMED30007001	1.545921873	up
SMED30035710	0.789081538	down
SMED30008984	0.826261007	down
SMED30025868	0.379484112	down
SMED30001271	0.796903174	down
SMED30013169	0.625295893	down
SMED30028018	0.484858839	down
SMED30034595	0.774389929	down
SMED30017477	0.305680235	down
SMED30002608	0.716638816	down
SMED30035246	0.867792223	down
SMED30034338	0.791357588	down
SMED30006638	0.922484326	down
SMED30030994	0.151384497	down
SMED30014332	0.806270328	down
SMED30026477	0.616630819	down
SMED30032823	0.353230494	down
SMED30014318	0.419059813	down
SMED30010466	0.909528922	down
SMED30000994	0.329261282	down
SMED30011221	0.194637211	down
SMED30022575	0.810211721	down
SMED30000241	0.5722334	down
SMED30013396	0.841083799	down
SMED30015216	0.877135541	down
SMED30021532	0.781392422	down
SMED30019280	0.888857811	down
SMED30010825	0.489577465	down
SMED30021328	0.324623799	down
SMED30005998	0.725026576	down
SMED30022383	4.503688799	up
SMED30006567	0.368999713	down
SMED30035328	0.764046464	down
SMED30001459	0.864096449	down
SMED30013893	0.792471593	down
SMED30015468	0.342192041	down
SMED30006817	0.194276772	down
SMED30007804	0.662707362	down
SMED30010627	0.264922871	down
SMED30034538	0.537123842	down
SMED30021346	0.673007404	down
SMED30018063	0.034555157	down
SMED30009659	0.378461244	down
SMED30017749	0.238430584	down
SMED30032441	0.865013312	down
SMED30012229	0.488587261	down
SMED30012938	0.66643049	down
SMED30032589	0.857288125	down
SMED30012188	0.920080825	down
SMED30023321	0.741784038	down
SMED30021376	0.571675668	down
SMED30029120	0.710995704	down
SMED30010227	0.937528657	down
SMED30027670	0.35442384	down
SMED30026393	0.227076746	down
SMED30034403	1.676635153	up
SMED30029594	0.969497204	down
SMED30026803	0.558698727	down
SMED30033756	0.858899796	down
SMED30012055	0.871827926	down
SMED30001833	0.680812818	down
SMED30004080	0.542126934	down
SMED30026007	0.548768803	down
SMED30034263	1.106532286	up
SMED30022748	0.332693837	down
SMED30012187	1.047524048	down
SMED30025170	0.480868404	down
SMED30024144	0.198692153	down
SMED30024178	0.146404744	down
SMED30010074	0.861999793	down
SMED30009887	0.879603463	down
SMED30028665	0.745095573	down
