l3	l5	l1	l2	l7	l6
SMED30033838	-0.485443624455703	-1.60555078801499	1.08909127279902	0.801390094540844	0.511414965158269	-0.310901920027439
SMED30034824	-1.00024679663028	-1.15370029525198	1.39207945623151	-0.15036469631105	0.838152359599779	0.0740799723620273
SMED30034983	-0.165106697853961	-1.25211103115543	1.31642632402228	1.06027486281682	-0.270585758693865	-0.688897699135849
SMED30035526	-0.778969315738869	-1.02716882995817	1.78546876570231	0.177339333756046	0.152435807771921	-0.309105761533241
SMED30036017	-1.24425108190554	-1.23275610134605	0.883442931375023	0.0961338489245402	0.851888851268268	0.645541551683758
STXBP1	-0.661843481579132	-1.22619938951415	1.39651764636546	0.956558328034182	-0.0263552095940041	-0.438677893712355
SYN2	-0.557162967086152	-1.22149780538899	1.42932008135756	0.945881216521232	-0.0958658783946249	-0.500674647009026
Sparc, partial	-1.0793967512628	-1.3611619704746	1.14315819227712	0.338147429757362	0.704240832601229	0.255012267101687
TNNI3	-1.35490099557262	-0.826868095629196	0.247246513110754	-0.218324664350822	1.2412876904912	0.911559551950701
TPM3	-1.48158252403902	-0.935190195054766	0.537173446921823	0.0704891496534144	0.890976152258291	0.91813397026026
TTN	-1.2641298290641	-0.66861202076362	-0.10665065138123	-0.338394354488918	1.22140092549149	1.15638593020637
TUBA1C	-0.473541216113174	-0.303044546450652	0.111639318441615	1.5711053187585	-1.39979098430967	0.493632109673391
TUBB4B	-0.948395716447317	-1.15491801926746	1.48406889928188	0.203910562019769	0.674795941138426	-0.259461666725302
VIL1	-1.36531580124417	-1.15389016372847	0.723092806336192	0.25884313946827	0.640206586752424	0.897063432415757
X1.C.A4.1, partial	-1.08473005044465	-0.964878535752147	-0.204803008742656	-0.119782603315767	1.28111555195898	1.09307864629624
X1.C3.3	-1.13733538708547	-1.29712415603099	1.23567014396834	0.386522378775694	0.500388565601089	0.311878454771344
X1.D.H1.3	1.01288308979275	1.49625521764042	-0.774672305394436	-0.502938290989796	-0.864655210603471	-0.366872500445468
ZAN	-0.28066434242017	-0.863781254365565	0.996236853359827	-0.93625638417515	1.46905867481276	-0.384593547211694
alpha tubulin, partial	-0.951553325209363	-1.13787449117725	1.46569099048856	-0.0127934402387954	0.791967977710784	-0.155437711573932
myomodulin prohormone like-2	-0.670549013238309	-0.982526043432186	1.15963178621282	-0.510978419681224	1.36091053181588	-0.356488841676979
myosin heavy chain A, partial	-1.11844036009147	-1.38703786915434	0.833857263548854	0.252369432976099	0.881485283424686	0.537766249296185
neuropeptide precursor-22	-0.455465093391361	-1.36444320026545	1.36845459260971	0.880408029620289	0.0946014044431347	-0.523555733016326
pedal peptide prohormone like-1	-0.236291667287673	-1.44328034127953	1.1891992860163	0.873306388765583	0.361222056579106	-0.744155722793794
prohormone convertase 2	0.170133157087169	-1.28141159554364	1.3041059113353	0.941152151174257	-0.343803188163828	-0.790176435889256
reticulocalbin-1	-0.778602376360392	-0.937689273818648	-0.287913181526607	-0.278019293395409	1.75350693479307	0.528717190307994
secreted peptide prohormone 1	-0.151817399540318	-1.19572049513576	1.34163322914337	1.07526713547919	-0.43655683825974	-0.632805631686742
slc1a-2	-0.589482966716627	-1.16636199657831	1.2783236900411	1.11422097616475	0.00861836473657038	-0.645318067647478
