timepoint	epi	muscle	neuron
2_69_7	14dpa1	1.11851587491667	0.519174099744619	-0.109200577627954
2_70_7	14dpa1	1.04515413613997	-0.0313341581423541	-0.152099917116292
2_74_1_7	14dpa1	0.410077196155862	-0.179159271612496	-0.173597107675093
2_76_1_7	14dpa1	0.854975361525149	0.578300482182142	-0.181647419974986
2_80_1_7	14dpa1	0.475756345735027	0.623734241569084	-0.154810010846602
2_81_7	14dpa1	0.585795862078519	0.165295957400363	-0.210964264400698
2_82_7	14dpa1	0.763240394823873	0.435421901973951	-0.153739829229239
2_83_7	14dpa1	0.888815257982397	1.03143281795352	-0.187645032384564
2_84_0_7	14dpa1	0.708030922225595	0.0767753675335106	-0.220549630589103
2_102_0_7	14dpa1	1.04795451996567	0.229337769156251	-0.180747543213048
2_102_1_7	14dpa1	0.747378811094962	0.217135074895018	0.151256310013271
2_103_7	14dpa1	1.0102450704975	-0.0166594432518874	-0.227532263689621
2_104_7	14dpa1	1.03527684237569	0.0808429293116846	0.246906728565155
2_105_0_7	14dpa1	0.689642594251406	0.344216524339131	0.0605723354042344
2_105_1_7	14dpa1	1.133578999525	0.35509543165318	-0.153942390248411
2_108_7	14dpa1	0.772181697807979	0.331281297693894	0.30827547553477
2_109_1_7	14dpa1	0.826082846756861	0.407119136045077	-0.176327582667003
2_109_2_7	14dpa1	1.02065944098294	0.456292364606923	0.0494591159948823
2_110_0_7	14dpa1	0.766693862423884	0.157467310477225	-0.191319491257146
2_110_1_7	14dpa1	0.878348998780315	0.578149862638178	-0.227922269931213
2_110_2_7	14dpa1	1.01211243948915	0.00575739999649949	0.0396152831887177
2_111_7	14dpa1	1.02954336138131	0.15533532385347	0.0692346866151017
2_113_7	14dpa1	0.881374189790933	-0.16008631296422	-0.159488915108115
2_114_0_7	14dpa1	1.00515308410098	-0.643916272067355	0.12163711349598
2_114_1_7	14dpa1	1.31304770841068	0.135237386674616	-0.201146598142676
2_115_7	14dpa1	0.713830646184852	0.239200392832644	0.021360269596503
