time_simu	ARNT_act	ndk_act	ARNT_pred	ndk_pred	time_realp	ARNT_realp	ndk_realp	EGR1_act	hox4b_act	EGR1_pred	hox4b_pred	EGR1_realp	hox4b_realp	NFYA_act	glra1_act	NFYA_pred	glra1_pred	NFYA_realp	glra1_realp
3.11424	8.05249	7.46322	7.43603	7.80915				7.33189	7.75237	6.59494	5.31022			9.02428	11.7604	9.21713	15.2739		
3.1423	8.05819	7.50472	7.43788	7.85249				7.34933	7.77769	6.61346	5.3389			9.03642	11.8321	9.22483	15.3691		
3.17036	8.06183	7.54591	7.43962	7.89551				7.36637	7.80086	6.6319	5.36774			9.0472	11.904	9.2323	15.4637		
3.19841	8.06345	7.5868	7.44124	7.9382				7.38301	7.82192	6.65024	5.39675			9.05667	11.976	9.23954	15.5579		
3.22647	8.0631	7.62737	7.44274	7.98056				7.39926	7.84093	6.66849	5.42593			9.06483	12.0481	9.24655	15.6517		
3.25452	8.06084	7.66764	7.44412	8.02261				7.41511	7.85795	6.68665	5.45526			9.07171	12.1203	9.25333	15.745		
3.28258	8.05672	7.7076	7.4454	8.06432				7.43057	7.87301	6.70472	5.48477			9.07733	12.1926	9.25989	15.8378		
3.31064	8.05077	7.74724	7.44656	8.10571				7.44564	7.88618	6.72268	5.51443			9.08171	12.265	9.26622	15.9301		
3.33869	8.04306	7.78658	7.44761	8.14677				7.46032	7.8975	6.74055	5.54424			9.08489	12.3376	9.27234	16.0219		
3.36675	8.03364	7.8256	7.44855	8.1875				7.47461	7.90704	6.75832	5.57422			9.08687	12.4102	9.27824	16.1132		
3.39481	8.02254	7.86432	7.44939	8.22791				7.48851	7.91483	6.77599	5.60435			9.08769	12.4829	9.28392	16.204		
3.42286	8.00983	7.90272	7.45012	8.26798				7.50203	7.92094	6.79355	5.63463			9.08736	12.5557	9.28939	16.2943		
3.45092	7.99554	7.94081	7.45075	8.30773				7.51517	7.92541	6.811	5.66505			9.08591	12.6286	9.29466	16.3841		
3.47898	7.97974	7.97858	7.45127	8.34715				7.52792	7.92829	6.82835	5.69563			9.08336	12.7016	9.29971	16.4734		
3.50703	7.96247	8.01604	7.4517	8.38624				7.54029	7.92965	6.84558	5.72635			9.07974	12.7747	9.30456	16.5621		
3.53509	7.94377	8.05319	7.45203	8.425				7.55229	7.92952	6.86271	5.75721			9.07505	12.8478	9.3092	16.6503		
3.56314	7.92371	8.09003	7.45225	8.46343				7.5639	7.92797	6.87972	5.78821			9.06934	12.921	9.31365	16.738		
3.5912	7.90232	8.12654	7.45239	8.50153				7.57514	7.92504	6.89662	5.81935			9.06262	12.9943	9.3179	16.8251		
3.61926	7.87966	8.16275	7.45243	8.5393				7.586	7.92079	6.91341	5.85062			9.05491	13.0676	9.32195	16.9117		
3.64731	7.85578	8.19863	7.45237	8.57674				7.59648	7.91527	6.93007	5.88203			9.04623	13.1409	9.32581	16.9977		
3.67537	7.83073	8.2342	7.45222	8.61385				7.6066	7.90853	6.94662	5.91357			9.03662	13.2144	9.32947	17.0831		
3.70342	7.80455	8.26946	7.45199	8.65063				7.61634	7.90062	6.96305	5.94523			9.02608	13.2878	9.33295	17.168		
3.73148	7.7773	8.30439	7.45166	8.68709				7.62571	7.89159	6.97935	5.97702			9.01465	13.3613	9.33624	17.2524		
3.75954	7.74903	8.33901	7.45125	8.72321				7.63472	7.8815	6.99554	6.00894			9.00234	13.4348	9.33934	17.3361		
3.78759	7.71978	8.37331	7.45074	8.75901				7.64335	7.8704	7.01159	6.04097			8.98918	13.5084	9.34227	17.4193		
3.81565	7.68961	8.40729	7.45016	8.79448				7.65162	7.85834	7.02753	6.07312			8.97519	13.582	9.34501	17.5019		
3.84371	7.65856	8.44095	7.44949	8.82962				7.65953	7.84538	7.04333	6.10539			8.9604	13.6556	9.34757	17.5839		
3.87176	7.62668	8.47429	7.44873	8.86443				7.66707	7.83155	7.05901	6.13777			8.94482	13.7292	9.34996	17.6653		
3.89982	7.59403	8.50731	7.4479	8.89891				7.67425	7.81692	7.07456	6.17025			8.92848	13.8029	9.35217	17.7461		
3.92788	7.56065	8.54001	7.44698	8.93307				7.68107	7.80155	7.08997	6.20285			8.9114	13.8765	9.35421	17.8264		
3.95593	7.52659	8.57239	7.44599	8.9669				7.68753	7.78547	7.10526	6.23555			8.89361	13.9502	9.35608	17.906		
3.98399	7.4919	8.60444	7.44491	9.00041				7.69364	7.76874	7.12041	6.26835			8.87512	14.0238	9.35778	17.985		
4.01204	7.45664	8.63618	7.44376	9.03359				7.69938	7.75142	7.13543	6.30124			8.85596	14.0974	9.35932	18.0635		
4.0401	7.42085	8.66759	7.44253	9.06644				7.70478	7.73356	7.15031	6.33424			8.83615	14.1711	9.36069	18.1413		
4.06816	7.38458	8.69867	7.44123	9.09897				7.70982	7.7152	7.16505	6.36732			8.81571	14.2447	9.3619	18.2185		
4.09621	7.34787	8.72944	7.43986	9.13118				7.7145	7.69641	7.17966	6.4005			8.79467	14.3183	9.36295	18.2951		
4.12427	7.31079	8.75987	7.43841	9.16306				7.71884	7.67722	7.19413	6.43376			8.77305	14.3919	9.36384	18.371		
4.15233	7.27338	8.78999	7.43689	9.19462				7.72283	7.6577	7.20846	6.46711			8.75087	14.4654	9.36457	18.4464		
4.18038	7.23568	8.81977	7.4353	9.22586				7.72646	7.6379	7.22265	6.50054			8.72816	14.5389	9.36515	18.5211		
4.20844	7.19775	8.84924	7.43364	9.25677				7.72976	7.61787	7.2367	6.53404			8.70493	14.6124	9.36558	18.5952		
4.23649	7.15964	8.87837	7.43191	9.28737				7.7327	7.59765	7.2506	6.56763			8.68121	14.6858	9.36586	18.6687		
4.26455	7.1214	8.90718	7.43011	9.31765				7.73531	7.57731	7.26437	6.60128			8.65702	14.7592	9.36598	18.7415		
4.29261	7.08308	8.93566	7.42825	9.3476				7.73757	7.5569	7.27799	6.635			8.63239	14.8326	9.36596	18.8137		
4.32066	7.04472	8.96381	7.42632	9.37724				7.73949	7.53646	7.29146	6.66879			8.60733	14.9059	9.3658	18.8853		
4.34872	7.00638	8.99164	7.42433	9.40657				7.74107	7.51605	7.30479	6.70265			8.58188	14.9791	9.36549	18.9563		
4.37677	6.9681	9.01913	7.42227	9.43557				7.74231	7.49572	7.31798	6.73656			8.55604	15.0522	9.36504	19.0266		
4.40483	6.92993	9.0463	7.42015	9.46426				7.74322	7.47552	7.33101	6.77053			8.52985	15.1253	9.36445	19.0963		
4.43289	6.89194	9.07313	7.41797	9.49264				7.74379	7.45551	7.3439	6.80456			8.50333	15.1983	9.36373	19.1653		
