	AP	frizzled5/8-4	ndk	zic-2	prep	sfrp-1	fz5_8-3	ndl-4	ndl-1	ptk7	ndl-3	wntA	teashirt	wntP-2 / wnt11-5	wntless	sfrp-2	wnt2	ndl-2	ndl-5	wnt11-2	dd4427	dd13065	sp5	fz4-1	Post-2c	hox4b
86	85	4.780295222	5.628367851	2.684846963	12.66346233	0.628854663	6.122676615	1.547691982	24.35275124	1.831483355	4.603911074	17.56069012	3.294626883	6.233345287	5.349507633	10.87276194	1.214379377	6.271260788	8.540875405	0.707819162	6.015067673	0.83830974	2.208597398	0.692586139	0.383170778	1.312725031
87	86	5.612377441	5.089803565	2.35172524	11.91078546	0.602322621	8.834991993	1.661203451	22.34920799	1.641552544	4.500637188	17.82611012	2.885846867	5.998916782	7.042034247	8.886068537	1.147707746	5.019602303	7.268602157	0.680285565	7.006792238	0.808298651	2.101531506	0.719356867	0.389276211	1.409003456
88	87	5.636713184	5.072427042	2.318633693	11.37026237	0.579074138	11.01576019	1.71548293	18.72049155	1.490721836	4.540625652	16.50357274	2.460233263	6.422256805	8.979950935	7.995926354	1.094755287	6.380129586	5.849026752	0.715264784	7.141828456	0.826138581	2.029991383	0.746596255	0.395298602	1.318414826
89	88	5.230922549	4.126780448	2.059307885	8.351019761	0.55700292	8.265042291	1.612560807	14.31180717	1.674178248	3.876399883	16.70836691	2.462557319	6.645703656	7.440891333	7.524033256	1.206004924	5.925623744	7.078794292	0.685372841	7.060854219	0.80955881	1.891738469	0.776447855	0.402079427	1.2652135
90	89	4.713822293	4.628180848	1.858426188	7.523751733	0.537030061	7.331949366	1.371845598	11.31698917	1.619974267	4.430416768	17.56052223	2.470338928	6.518898426	6.400468495	6.035579376	1.053517843	4.852549985	7.288194092	0.712291656	7.046138602	0.775500143	1.70720286	0.745420159	0.409225903	1.358566021
91	90	4.511484703	5.261067927	1.707602886	6.492109719	0.518098268	6.211951764	1.466473869	11.07182758	1.794616776	4.016664609	20.74501227	2.852454298	7.110681104	5.276062192	6.248796555	1.054614506	3.983749125	6.002348464	0.740241799	7.454377609	0.803169259	1.759881105	0.71564513	0.416435687	1.467953209
92	91	4.5099664	6.140055474	1.724021931	7.667408991	0.511567203	5.33358075	1.576283929	11.11698245	1.725335008	3.639569386	20.56286136	3.02531766	6.467538447	5.837651262	5.401358094	1.122650064	3.777988605	5.546242477	0.769953273	8.358924749	0.832256663	1.953899942	0.689706177	0.415666437	1.5977878
93	92	4.593132604	5.068660965	1.67970815	9.122761336	0.494362382	5.221426257	1.705142746	10.99832432	2.008241062	3.868715585	19.21910973	2.887018873	6.285724816	5.069118585	4.714866708	1.200891728	2.984977888	6.823096944	0.801801454	8.311130575	0.769488273	2.094948615	0.664070829	0.406774828	1.758637013
94	93	5.469399334	4.263323657	1.530739341	8.826648197	0.478965224	5.092053187	1.937576942	9.518389519	1.993128609	3.542684375	18.76596113	2.818928631	6.436213141	4.956560474	5.223672768	1.291748486	3.484857669	7.836918125	0.836895306	8.396273126	0.797134876	2.115316171	0.640999861	0.427976135	1.728077806
95	94	5.753311471	3.875526851	1.414129039	10.88694842	0.464750828	4.920386464	1.934802154	9.72502686	1.794397916	3.677169118	16.91255923	3.273226463	5.842774353	5.489746765	5.264790613	1.326912776	3.447441449	7.505408439	0.837782394	8.532783882	0.82619204	2.114535088	0.620397794	0.435613889	1.798923334
96	95	5.760463798	4.11506411	1.309264837	12.28343303	0.508325265	4.717252035	1.769539933	12.73680549	1.62405733	3.671640183	16.30043185	3.411024326	5.709726563	5.505500969	5.559085879	1.328757804	3.435482875	6.580270445	0.877777343	8.320305535	0.792199902	2.062168759	0.641064467	0.443650845	1.988170499
97	96	4.539652916	4.181561293	1.212956572	15.82314486	0.465890798	3.914107969	1.937643043	11.6935488	1.55049074	4.141791159	14.8402007	3.193069548	5.779768646	5.211145019	5.567051064	1.327413278	3.159836603	6.494524081	0.923421327	7.57510815	0.764859645	1.586971909	0.609880534	0.452179449	1.795363032
98	97	4.395110151	3.967361572	1.1349414	12.58038233	0.452577355	4.776539567	1.82269768	9.977413648	1.79616945	4.479048714	14.21845636	3.452948181	6.122004738	4.173903423	5.016046667	1.222700369	3.541966138	6.935911992	0.984945038	7.599431293	0.735786964	1.449239507	0.628812121	0.461161866	1.627923389
99	98	3.54635958	4.819566188	1.170223508	12.49603541	0.455730572	4.352307986	1.651410392	11.0091148	1.712405342	4.722446051	15.17117941	4.194654809	7.19095858	4.18147375	4.537069491	1.244454702	4.268494116	5.999110486	0.890456379	7.588455256	0.753207264	1.326015434	0.648518043	0.470844526	1.568742156
