cell	x	y	cluster
146793.WT_25	1659.8333333333333	1172.4444444444443	c2
146794.WT_25	1666.428571428571	1276.428571428571	c8
146805.WT_25	1610.030303030303	362.4848484848485	c9
146806.WT_25	1615.3333333333333	469.53333333333336	c21
146807.WT_25	1612.5494505494505	477.1758241758242	c21
146808.WT_25	1617.2	501.3142857142857	c21
146811.WT_25	1639.0	875.7954545454545	c11
146812.WT_25	1658.2105263157894	1140.1052631578948	c8
146814.WT_25	1658.2303921568628	1180.1274509803925	c2
146815.WT_25	1661.68	1197.04	c12
146816.WT_25	1665.2222222222222	1316.3333333333333	c8
146817.WT_25	1683.7425742574258	1544.069306930693	c21
146818.WT_25	1683.925925925926	1551.888888888889	c21
146831.WT_25	1600.1803278688524	302.75409836065575	c6
146832.WT_25	1607.6296296296296	359.44444444444446	c6
146833.WT_25	1613.2857142857142	466.9714285714286	c21
146834.WT_25	1614.7586206896551	505.2068965517241	c21
146836.WT_25	1617.475	575.925	c8
146837.WT_25	1626.2105263157894	646.578947368421	c12
146838.WT_25	1628.2727272727273	697.4545454545455	c2
146841.WT_25	1638.88	831.4	c2
146842.WT_25	1649.1818181818182	1007.0909090909092	c1
146843.WT_25	1653.8125	1048.53125	c2
146844.WT_25	1653.25	1064.4583333333333	c5
146845.WT_25	1654.9264705882354	1126.279411764706	c2
146848.WT_25	1673.22	1396.19	c2
146849.WT_25	1672.1518987341772	1417.0379746835442	c10
146851.WT_25	1683.6805555555557	1574.0555555555557	c0
146866.WT_25	1605.0	284.3333333333333	c3
146867.WT_25	1609.8666666666666	383.4222222222222	c10
146870.WT_25	1609.9333333333334	424.9333333333333	c6
146871.WT_25	1613.0	458.54545454545456	c10
146872.WT_25	1635.8648648648648	766.3513513513514	c5
146874.WT_25	1642.64	916.16	c2
146876.WT_25	1669.890410958904	1340.6438356164383	c2
146877.WT_25	1684.4024390243903	1556.4268292682927	c21
146893.WT_25	1605.5454545454545	326.5974025974026	c1
146894.WT_25	1607.8461538461538	377.3076923076923	c10
146895.WT_25	1614.9710144927535	487.3768115942029	c21
146896.WT_25	1614.6333333333334	494.76666666666665	c21
146897.WT_25	1617.469387755102	571.2857142857143	c5
146898.WT_25	1622.0	587.2941176470588	c5
146899.WT_25	1623.137254901961	597.1176470588235	c12
146901.WT_25	1625.25	669.5416666666666	c17
146904.WT_25	1641.46875	899.875	c3
146906.WT_25	1642.2432432432431	928.1711711711712	c3
146907.WT_25	1646.9245283018868	968.5471698113208	c2
146909.WT_25	1649.9166666666667	1043.875	c2
146911.WT_25	1654.9302325581396	1168.9302325581396	c32
146912.WT_25	1665.59375	1350.1484375	c0
146917.WT_25	1601.9354838709678	256.2258064516129	c22
146919.WT_25	1619.8426966292134	580.6516853932584	c5
146920.WT_25	1622.2424242424242	635.1818181818181	c2
